Gene	UniProt annotation	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	INT_ma1	INT_ma2	INT_ma3	LIV_ma1	LIV_ma2	LIV_ma3
Smp_000660	ornithine aminotransferase	105.8666231	-0.515233836	0.315430474	-1.633430749	0.102378434	0.277679964	113.9331297	140.7825841	121.053742	92.84504089	76.85980465	89.72543749
Smp_000670	CENTB5 protein	31.53895447	0.575748789	0.485743853	1.185293001	0.23590162	0.460849894	18.09238541	37.54202242	25.0456018	33.76183305	30.36899598	44.42288817
Smp_000680	Ornithine transporter 2 (Solute carrier family 25 member 2)	10.59022776	0.626500408	0.73971157	0.84695229	0.397021715	0.621055397	5.378817283	9.385505605	12.5228009	15.75552209	8.623295156	11.87542555
Smp_000690	POU domain protein	0.437516323	0.928325365	3.043293203	0.305039739	0.760335886	NA	0	0	0	1.125394435	1.499703505	0
Smp_000700	SET and MYND domain-containing protein 4	20.36849099	0.4239649	0.544964944	0.77796729	0.436588297	0.655156757	22.49323591	14.07825841	12.5228009	23.07058592	28.4943666	21.55169822
Smp_000710	Ubiquitin carboxyl-terminal hydrolase	95.5949535	-1.474049551	0.369948813	-3.98446893	6.76E-05	0.00096273	97.79667788	126.7043257	200.3648144	55.14432732	56.61380733	36.94576838
Smp_000720	Serine/threonine kinase	176.425374	-1.327348179	0.294056295	-4.513925393	6.36E-06	0.000117649	203.41709	281.5651682	275.5016198	103.536288	90.73206208	103.8000159
Smp_000740	26S proteasome non-ATPase regulatory subunit 4	250.080642	-0.299107389	0.289072981	-1.034712369	0.300803258	0.532689327	280.1874821	305.0289322	242.1074841	253.2137479	175.840236	244.1059696
Smp_000755	Family M13 non-peptidase homologue (M13 family)	27.33124944	0.680426209	0.527809339	1.289151515	0.197345417	0.415768922	11.73560135	28.15651682	29.21986877	33.19913583	27.36958897	34.30678492
Smp_000770		0	NA	NA	NA	NA	NA	0	0	0	0	0	0
Smp_000790	Actin binding LIM protein family member 2-related	36.13243245	-0.228756978	0.504559684	-0.453379422	0.650275552	0.812897342	21.51526913	37.54202242	62.61400451	24.19598035	24.74510784	46.18221047
Smp_000810	Similar to TatD DNAse domain containing 1; Tatd DNAse-related	35.97942272	-0.674060469	0.423681226	-1.59096138	0.111618268	0.292253716	43.51952165	56.31303363	33.39413574	25.32137479	29.61914423	27.70932628
Smp_000820		37.53674396	0.650084847	0.46409803	1.400748992	0.161289147	0.367646278	41.07460471	23.46376401	16.69706787	47.82926349	41.61677227	54.53899141
Smp_000830	Homeobox protein smox-3	6.595256674	-0.321452854	0.843524178	-0.381083154	0.703141547	0.845730454	8.312717619	4.692752803	8.348533934	8.440458263	4.499110516	5.277966911
Smp_000850	Putative DNAj domain	81.59196544	-0.422332948	0.345912996	-1.220922468	0.222115377	0.44611823	81.17124264	89.16230325	112.7052081	64.1474828	82.10876692	60.2567889
Smp_000870	FYVE-type domain-containing protein	58.47202889	1.185142984	0.432101796	2.74274024	0.006092886	0.039127324	49.38732233	37.54202242	12.5228009	72.58794106	85.10817393	93.68391267
Smp_000880	ATPase protein 9	618.8548241	-1.924091943	0.25998161	-7.400877099	1.35E-13	1.17E-11	977.4777954	821.2317404	1139.574882	280.7859115	260.9484099	233.1102052
Smp_000900	Putative g-protein coupled receptor	20.08992924	0.209041248	0.54620943	0.382712631	0.701932848	0.845468652	22.9822193	9.385505605	20.87133484	27.57216366	19.49614557	20.23220649
Smp_000910	Similar to cancer susceptibility candidate 1	57.97311815	0.175550679	0.456179724	0.384827886	0.700364938	0.845008749	58.67800673	28.15651682	75.13680541	30.94834696	73.11054589	81.80848712
Smp_000950	Mab-21-like	4.92668614	-0.801285069	0.952455317	-0.841283633	0.400189058	0.623497764	5.867800673	4.692752803	8.348533934	2.813486088	2.999407011	4.838136335
Smp_000980	Putative high mobility group B2 protein	237.3276136	-0.722272627	0.309637627	-2.332638426	0.01966713	0.090896624	299.2578343	206.4811233	379.858294	165.432982	155.2193128	217.7161351
Smp_000990	Exocyst complex component 1	77.28277297	0.879950197	0.371642168	2.367735079	0.017897346	0.084593931	54.27715622	37.54202242	70.96253844	86.6553715	91.10698795	123.1525613
Smp_001000	Usp domain-containing protein	41.80589095	-1.343488361	0.4221779	-3.182280175	0.001461204	0.012608918	54.76613961	42.23477522	83.48533934	25.32137479	26.9946631	18.03305361
Smp_001020	Adenine DNA glycosylase	15.56618232	0.725890461	0.6548996	1.10839961	0.267689273	0.497265861	7.334750841	18.77101121	12.5228009	26.44676922	14.2471833	14.07457843
Smp_001030	5'-amp-activated protein kinase gamma-2 non-catalytic subunit transcript variant 2	50.4726424	0.08697458	0.389423521	0.223341877	0.823269437	0.916520368	58.67800673	46.92752803	37.5684027	51.76814401	55.11410382	52.77966911
Smp_001040	Kinesin heavy chain	339.3385206	-1.019001204	0.304540033	-3.346033667	0.000819764	0.007895757	388.2528112	427.040505	551.0032397	158.1179181	233.2038951	278.4127546
Smp_001070	Putative g-protein coupled receptor	20.97502379	-1.671135743	0.563578217	-2.965224155	0.003024625	0.022482442	21.51526913	46.92752803	29.21986877	5.064274958	11.24777629	11.87542555
Smp_001080	 RIIa domain-containing protein	207.6321418	-1.903407507	0.330808751	-5.753800341	8.73E-09	3.09E-07	274.3196814	347.2637074	363.1612261	100.1601047	107.2288006	53.65933026
Smp_001090	Nuclear pore complex protein	44.05646751	0.601329847	0.421073038	1.428089175	0.153266193	0.356397102	33.73985387	51.62028083	20.87133484	56.83241897	47.6155863	53.65933026
Smp_001095	UBA domain-containing protein	44.7538476	0.718729457	0.444835646	1.615719119	0.106155055	0.282892458	21.02628574	37.54202242	50.0912036	51.2054468	53.23947444	55.41865257
Smp_001100	Fibrillin-2-like	4.858605744	0.54442562	1.085735714	0.501434754	0.616065186	0.791131071	8.801701009	0	0	5.064274958	8.24836928	7.037289215
Smp_001120	39S ribosomal protein L50, mitochondrial	37.92805742	-0.860126532	0.444539835	-1.934869416	0.053006322	0.183885864	52.81020605	46.92752803	45.91693664	37.70071357	26.61973722	17.59322304
Smp_001160	WD_REPEATS_REGION domain-containing protein	55.76856576	0.375956972	0.485463968	0.77442817	0.438677631	0.65658345	38.62968776	51.62028083	58.43973754	24.19598035	69.36128712	92.36442094
Smp_001170	Eukaryotic translation initiation factor 3 subunit A	238.0520236	0.393339682	0.357763081	1.09944179	0.271575411	0.500977449	293.3900336	112.6260673	200.3648144	229.5804648	234.3286727	358.0220888
Smp_001180	Helicase ARIP4	111.6198388	-0.485050349	0.378474093	-1.281594588	0.1999849	0.419673471	94.86277754	150.1680897	150.2736108	66.96096889	71.98576826	135.4678174
Smp_001210	Putative myosin	10.76168404	1.499952365	0.790278098	1.898005737	0.057695326	0.193853573	2.933900336	9.385505605	8.348533934	11.81664157	15.37196093	16.71356189
Smp_001360	dTMP kinase	123.8685946	-1.041855466	0.369082424	-2.82282601	0.00476024	0.032318925	169.6772361	234.6376401	96.00814024	104.6616825	80.60906341	57.61780545
Smp_001390	NCK-associated protein 1	11.50132358	0.811729548	0.695830139	1.16656279	0.243386978	0.469141994	10.26865118	4.692752803	8.348533934	12.942036	19.12121969	13.63474785
Smp_001410	Glyoxalase domain-containing protein 4	79.07538138	-0.518673226	0.375473462	-1.381384513	0.167160765	0.375518173	72.36954163	89.16230325	121.053742	86.09267428	52.11469681	53.65933026
Smp_001420	Gh regulated tbc protein-1, putative	44.2637616	-0.270609807	0.482406374	-0.560958191	0.574826039	0.764928901	57.70003995	61.00578643	25.0456018	28.13486088	65.98695424	27.70932628
Smp_001500	 EIF-4F 25 kDa subunit	262.8767865	-0.354834225	0.30408645	-1.166886011	0.243256406	0.469102046	303.1697014	229.9448873	350.6384252	258.8407201	263.5728911	171.094094
Smp_001530	Exocyst complex component 8	24.43034553	0.463618149	0.616177618	0.752409915	0.451804586	0.669541504	37.65172098	0	16.69706787	40.51419966	21.37077495	30.34830974
Smp_001560	E3 ubiquitin-protein ligase ZSWIM2	20.97958176	0.776356299	0.622991183	1.24617542	0.212700001	0.435966092	15.64746846	14.07825841	16.69706787	9.565852698	30.74392186	39.14492126
Smp_001590	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	64.09168663	-0.601976316	0.378142669	-1.591929091	0.111400638	0.292014536	70.90259146	112.6260673	50.0912036	51.2054468	43.86632753	55.85848314
Smp_001610	Radial spoke head protein 9 homolog	15.10240396	1.282399986	0.813110851	1.577152716	0.11476039	0.296840851	6.356784062	9.385505605	12.5228009	3.938880523	15.74688681	42.66356586
Smp_001640		103.2373245	-0.776915377	0.316298224	-2.456274863	0.014038574	0.071970863	142.7831497	112.6260673	133.5765429	80.46570211	81.35891517	68.61356984
Smp_001780	MFS_1_like domain-containing protein	3.148147502	1.618562926	1.299212252	1.245803311	0.212836614	0.436071254	0.977966779	4.692752803	0	3.376183305	4.12418464	5.717797487
Smp_001830	Putative 60s ribosomal protein L24	648.1529314	-1.266723606	0.285613295	-4.435100281	9.20E-06	0.000165131	943.2489581	1060.562133	743.0195201	377.0071357	290.94248	474.1373608
Smp_001890	Venom allergen-like (VAL) 18 protein	1.157256945	-0.564131006	2.312807333	-0.243916127	0.807295779	NA	0	4.692752803	0	2.25078887	0	0
Smp_001900	Septate junction protein	13.37351839	-1.952239045	1.665549223	-1.1721293	0.241145148	0.467140102	0.977966779	4.692752803	58.43973754	2.25078887	1.124777629	12.7550867
Smp_001940	DREV protein-like protein	31.17717234	-0.398094881	0.496770948	-0.801365062	0.422920335	0.643608085	22.9822193	28.15651682	58.43973754	33.76183305	24.37018196	19.35254534
Smp_001950	Cytochrome b561 domain-containing protein	98.69607534	-0.452948302	0.360495689	-1.256459692	0.208949351	0.430655504	125.6687311	131.3970785	83.48533934	101.2854992	94.48132084	55.85848314
Smp_001960	Putative 50s ribosomal protein L1	56.39483695	0.433846379	0.42344421	1.024565618	0.305568194	0.537560854	65.52377418	46.92752803	25.0456018	71.46254663	50.24006743	79.16950367
Smp_001980	Putative homeobox protein	3.231088427	1.181710004	1.317257004	0.897099048	0.369666067	0.594822509	3.911867115	0	0	2.813486088	5.623888145	7.037289215
Smp_002010	Putative nep1	59.56313955	0.490935968	0.43190194	1.136683868	0.255670465	0.483543278	76.28140874	42.23477522	20.87133484	76.52682158	74.61024939	66.85424754
Smp_002060	Venom allergen-like (VAL) 10 protein; Venom allergen-like protein 10	1.564250934	-5.159017852	3.995512214	-1.291203124	0.196633252	NA	0	9.385505605	0	0	0	0
Smp_002070	Venom allergen-like protein 4	0	NA	NA	NA	NA	NA	0	0	0	0	0	0
Smp_002080	S-adenosylmethionine synthase	226.231412	0.09494969	0.295738298	0.321059836	0.748165046	0.870701412	222.4874422	215.8666289	217.0618823	296.5414336	198.7107145	206.7203707
Smp_002100	Vesicle transport protein	36.68446027	0.114498679	0.450021515	0.254429344	0.799163884	0.902864911	31.29493692	46.92752803	29.21986877	49.51735514	34.11825475	29.02881801
Smp_002160	DNA methyltransferase 1-associated protein 1	18.9306109	1.517037245	0.601451084	2.522295306	0.011659178	0.063360565	12.71356812	4.692752803	8.348533934	29.26025531	32.61855124	25.95000398
Smp_002180	 Transcription factor BTF3	293.4355449	-1.188252544	0.269511571	-4.408911057	1.04E-05	0.000184862	443.0189508	436.4260106	342.2898913	190.1916595	165.7172373	182.9695196
Smp_002230	ESF1-like protein	53.74059041	0.805375603	0.462086545	1.742910744	0.081349207	0.240916636	57.70003995	9.385505605	41.74266967	63.02208836	59.98814022	90.60509864
Smp_002280	Kinesin-like protein	149.2175707	-1.312411323	0.358010917	-3.665841626	0.000246526	0.002888316	128.113648	323.7999434	192.0162805	77.65221602	81.35891517	92.36442094
Smp_002380	Ubiquitin-like domain-containing protein	44.04942369	0.693710086	0.456319854	1.52022771	0.128453755	0.319084439	46.45342199	18.77101121	29.21986877	56.83241897	71.23591651	41.78390471
Smp_002410	14-3-3 epsilon 2	251.7923198	-0.261369268	0.320402792	-0.815752156	0.414641902	0.636609111	343.7553227	244.0231457	229.5846832	222.2654009	169.841422	301.2839445
Smp_002510	Pyruvate dehydrogenase E1 component subunit beta	165.6768325	-1.596338868	0.303966396	-5.251695215	1.51E-07	4.05E-06	227.8662595	211.1738761	308.8957556	89.46885759	88.48250682	68.17373927
Smp_002550	RNA-binding protein 8A	316.9068267	-0.876071433	0.28400771	-3.084674828	0.002037748	0.016481445	338.3765055	525.5883139	371.5097601	245.8986841	210.7083425	209.3593541
Smp_002600	Lysosomal Pro-Xaa carboxypeptidase (S28 family)	17.07581207	-0.067942045	0.572052018	-0.118768998	0.905458371	0.957592861	14.66950168	14.07825841	25.0456018	12.942036	17.24659031	18.47288419
Smp_002630	Venom allergen-like protein 2	195.5882818	-0.497537687	0.318673637	-1.561276583	0.118458506	0.30264855	291.9230835	150.1680897	237.9332171	192.4424484	153.7196093	147.3432429
Smp_002640	Hox protein Smox1	18.77727627	0.308411426	0.596415219	0.517108578	0.605080366	0.784574375	18.5813688	14.07825841	16.69706787	15.19282487	14.2471833	33.86695435
Smp_002740	DIF_7	151.0934189	-0.784984441	0.347405391	-2.259563211	0.023848373	0.104295419	176.0340202	168.9391009	229.5846832	138.4235155	126.7249462	66.85424754
Smp_002820	Zinc finger CCCH domain-containing protein 6	45.63140704	1.095588177	0.426490802	2.568843624	0.010203849	0.05737398	29.82798675	18.77101121	37.5684027	74.83872993	57.36365908	55.41865257
Smp_002840	Protein SERAC1	26.53926222	0.690798156	0.49375006	1.399084702	0.161787585	0.368290981	21.02628574	14.07825841	25.0456018	31.51104418	28.86929248	38.70509068
Smp_002860	DUF3074 domain-containing protein	0	NA	NA	NA	NA	NA	0	0	0	0	0	0
Smp_002870	Transmembrane protein 115	48.18718875	-0.122659758	0.5321807	-0.230485168	0.817714788	0.914149477	48.89833894	98.54780885	4.174266967	60.77129949	31.86869949	44.86271874
Smp_002880	ATP synthase subunit alpha	358.7744729	-1.815228731	0.262151779	-6.92434259	4.38E-12	2.88E-10	603.4055025	553.7448307	517.6091039	163.1821931	140.9721295	173.7330775
Smp_002920	TLC domain-containing protein	14.44456147	0.680771693	0.662353171	1.027807706	0.304040291	0.536308989	13.6915349	9.385505605	8.348533934	21.94519148	23.62033021	9.67627267
Smp_002950	Putative 13 kDa deflagellation-inducible protein	21.66752312	-1.298927393	0.542396554	-2.394792855	0.016629757	0.081116366	21.02628574	18.77101121	54.26547057	12.37933879	11.24777629	12.31525613
Smp_003000	Putative cell division protein kinase 9-B	34.84875524	1.181422952	0.487575814	2.423054874	0.015390602	0.076916986	18.09238541	23.46376401	25.0456018	59.08320784	51.73977094	31.66780147
Smp_003130	Putative udp-glucose pyrophosphatase	66.58722887	-0.419866829	0.38937356	-1.078313661	0.280893803	0.512084091	58.18902334	61.00578643	112.7052081	68.08636332	55.11410382	44.42288817
Smp_003140	Sorting nexin	21.26421316	2.11932169	0.597693855	3.545831489	0.000391376	0.00431322	7.334750841	9.385505605	8.348533934	29.82295253	34.8681065	37.82542953
Smp_003190		40.73710166	-1.313545464	0.597949354	-2.19675037	0.028038279	0.117967953	41.07460471	46.92752803	87.65960631	6.75236661	12.7474798	49.2610245
Smp_003230	Sh3 domain grb2-like protein B1 (Endophilin B1)	7.879840089	0.69863517	0.861124595	0.811305558	0.417190219	0.638973396	7.82373423	4.692752803	4.174266967	4.50157774	9.373146909	16.71356189
Smp_003250	 COX assembly mitochondrial protein	56.70682824	0.24555261	0.401492399	0.611599648	0.540802671	0.738944117	43.03053827	70.39129204	45.91693664	62.45939115	44.99110516	73.45170618
Smp_003270	Tubulin-specific chaperone cofactor E-like protein	22.39071447	0.876859503	0.568335961	1.542854163	0.122866164	0.309727125	8.801701009	23.46376401	20.87133484	24.75867757	29.61914423	26.82966513
Smp_003280	Lim homeobox protein	46.37412954	1.623897083	0.451200355	3.599059854	0.00031937	0.003612896	17.11441863	18.77101121	37.5684027	65.27287723	62.98754723	76.53052021
Smp_003300	Putative serpin	0	NA	NA	NA	NA	NA	0	0	0	0	0	0
Smp_003330	 Sjoegren syndrome nuclear autoantigen 1	384.0650722	-1.710793149	0.262457037	-6.51837409	7.11E-11	3.77E-09	508.542725	591.2868531	667.8827147	175.5615319	190.4623452	170.6542635
Smp_003340	ER membrane protein complex subunit 1	37.21465905	0.168439199	0.504506462	0.33386926	0.738478217	0.865684136	47.92037216	23.46376401	29.21986877	58.52051062	43.49140166	20.67203707
Smp_003410	 Ribosomal_L23eN domain-containing protein	616.4777296	-1.374784628	0.293688192	-4.68110283	2.85E-06	5.79E-05	866.9675494	1098.104156	705.4511174	292.6025531	290.1926283	445.5483734
Smp_003440	Putative spfh domain / Band 7 family protein	22.34708336	-1.038993715	0.508062112	-2.045013179	0.040853559	0.153772199	36.18477081	23.46376401	29.21986877	11.25394435	17.24659031	16.71356189
Smp_003600	DUF3421 domain-containing protein	55.79800813	-0.204068843	0.405185681	-0.50364278	0.614512424	0.79044437	79.70429247	61.00578643	33.39413574	61.89669393	54.36425207	44.42288817
Smp_003610	DUF3421 domain-containing protein	67.20046363	1.016863163	0.406275861	2.502888461	0.012318436	0.066129328	55.255123	56.31303363	16.69706787	103.536288	92.23176558	79.16950367
Smp_003620	Putative septin	53.68273522	-0.927840161	0.411833648	-2.252948892	0.024262372	0.105780968	59.6559735	107.9333145	45.91693664	35.4499247	44.99110516	28.14915686
Smp_003630	Putative splicing factor 3a	100.4113789	0.474455795	0.339080728	1.399241405	0.161740604	0.368282191	78.72632569	70.39129204	104.3566742	115.9156268	96.7308761	136.3474785
Smp_003660	 RNA helicase	155.5103375	-0.461154335	0.350823654	-1.314490428	0.188681217	0.404195203	247.425595	89.16230325	196.1905475	136.7354239	131.5989826	131.9491728
Smp_003670	PIG-H domain-containing protein	21.19179892	0.129969732	0.559196255	0.232422394	0.816209957	0.913663073	14.18051829	37.54202242	12.5228009	20.25709983	25.49495959	17.15339246
Smp_003700	30S ribosomal protein S18	153.008946	-1.135483864	0.306678575	-3.702520998	0.000213468	0.002560713	203.41709	248.7158985	179.4934796	110.8513519	98.60550548	76.97035079
Smp_003710	Putative tropomodulin	204.9861827	-0.397672157	0.278428427	-1.428274267	0.153212932	0.356370275	247.425595	215.8666289	233.7589502	177.8123207	161.9679786	193.0856228
Smp_003760		15.81921751	1.686000654	0.671849733	2.509490696	0.01209054	0.065069504	10.26865118	0	8.348533934	26.44676922	29.61914423	20.23220649
Smp_003770		1042.026453	-2.347014132	0.329111957	-7.131354785	9.94E-13	7.32E-11	1295.316998	1281.121515	2650.659524	276.847031	329.9347712	418.2788777
Smp_003860	 PID domain-containing protein	76.40554025	-0.52428944	0.358742191	-1.461465794	0.143887656	0.343081774	75.79242535	131.3970785	66.78827147	60.77129949	62.98754723	60.69661948
Smp_003900	Putative t-box transcription factor tbx20	2.136446423	2.146651092	1.510961689	1.420718412	0.155398638	0.359426579	0.977966779	0	0	2.813486088	3.749258763	5.277966911
Smp_003930	Intraflagellar transport protein 56	15.89125145	-0.100766873	0.607668367	-0.165825437	0.868294327	0.939360529	21.02628574	9.385505605	16.69706787	17.44361374	10.12299866	20.67203707
Smp_003940	Methyltransf_11 domain-containing protein	10.80151625	0.784951216	0.721914333	1.087319063	0.276895827	0.507503703	11.73560135	4.692752803	4.174266967	14.63012766	14.62210918	14.95423958
Smp_003970	Putative elongation factor-1 beta,delta	206.5414303	-0.388315984	0.358052506	-1.084522459	0.278133215	0.508788988	311.482419	276.8724153	108.5309411	207.0725761	156.7190163	178.5712138
Smp_003980	Family C2 unassigned peptidase (C02 family)	106.5682584	-0.84959533	0.333810021	-2.54514627	0.010923197	0.060502612	146.6950168	112.6260673	150.2736108	88.34346315	84.73324805	56.73814429
Smp_003990	Triosephosphate isomerase	308.054227	-1.355766295	0.285035232	-4.756486712	1.97E-06	4.19E-05	410.2570637	351.9564602	567.7003075	168.246468	159.7184233	190.4466394
Smp_004000	Probable RNA-binding protein EIF1AD	9.417224919	1.461407128	0.844111967	1.731295356	0.083399099	0.244696567	3.422883726	14.07825841	0	17.44361374	10.12299866	11.43559497
